batch,train_loss,train_accuracy
1.0,0.8129138946533203,0.695575221238938
2.0,0.5052913427352905,0.8141592920353983
3.0,0.4411903917789459,0.8477876106194691
4.0,0.319765567779541,0.8831858407079646
5.0,0.23446950316429138,0.9185840707964602
6.0,0.24107089638710022,0.9150442477876106
7.0,0.21403279900550842,0.9292035398230089
8.0,0.16282035410404205,0.9486725663716814
9.0,0.14286191761493683,0.9557522123893806
10.0,0.07872520387172699,0.9734513274336283
11.0,0.0867994874715805,0.9752212389380531
12.0,0.09282803535461426,0.9734513274336283
13.0,0.07022468745708466,0.984070796460177
14.0,0.05083775520324707,0.9893805309734514
15.0,0.0494961142539978,0.9876106194690265
16.0,0.02644764445722103,0.9946902654867257
17.0,0.04832902178168297,0.9858407079646018
18.0,0.07211083918809891,0.9787610619469026
19.0,0.06948467344045639,0.9823008849557522
20.0,0.02100108191370964,0.9982300884955753
21.0,0.016654159873723984,0.9982300884955753
22.0,0.029706142842769623,0.9929203539823008
23.0,0.01338664535433054,1.0
24.0,0.01004491001367569,1.0
25.0,0.010351183824241161,1.0
26.0,0.010111561976373196,1.0
27.0,0.006098885554820299,1.0
28.0,0.008797998540103436,0.9982300884955753
29.0,0.019149482250213623,0.9964601769911504
30.0,0.03173643350601196,0.9893805309734514
31.0,0.02077380381524563,0.9911504424778761
32.0,0.027207553386688232,0.9929203539823008
33.0,0.06312549859285355,0.984070796460177
34.0,0.01872761733829975,0.9964601769911504
35.0,0.005980685353279114,1.0
36.0,0.0034188232384622097,1.0
37.0,0.0036770894657820463,1.0
38.0,0.005385504104197025,1.0
39.0,0.006427975837141275,1.0
40.0,0.009154032915830612,0.9982300884955753
41.0,0.006272763013839722,0.9964601769911504
42.0,0.0031610880978405476,1.0
43.0,0.003643976990133524,1.0
44.0,0.00478542922064662,1.0
45.0,0.004908232484012842,1.0
46.0,0.0051768869161605835,1.0
47.0,0.0031561076175421476,1.0
48.0,0.004034487530589104,1.0
49.0,0.0038675398100167513,1.0
50.0,0.003781659994274378,1.0
51.0,0.0033402962144464254,1.0
52.0,0.0054634977132081985,1.0
53.0,0.004077287390828133,1.0
54.0,0.003846534062176943,1.0
55.0,0.001655653235502541,1.0
56.0,0.002470859792083502,1.0
57.0,0.002255586674436927,1.0
58.0,0.0025133753661066294,1.0
59.0,0.002004130743443966,1.0
60.0,0.002426429186016321,1.0
61.0,0.0014819343341514468,1.0
62.0,0.0018793640192598104,1.0
63.0,0.0014744013315066695,1.0
64.0,0.0014139738632366061,1.0
65.0,0.0024500989820808172,1.0
66.0,0.001860765041783452,1.0
67.0,0.0023395419120788574,1.0
68.0,0.003166838549077511,1.0
69.0,0.0016043081413954496,1.0
70.0,0.001161184161901474,1.0
71.0,0.0021865968592464924,1.0
72.0,0.0011667823418974876,1.0
73.0,0.0012976606376469135,1.0
74.0,0.014877289533615112,0.9964601769911504
75.0,0.0042148311622440815,1.0
76.0,0.0020795303862541914,1.0
77.0,0.0015491371741518378,1.0
78.0,0.0022910970728844404,1.0
79.0,0.0021993734408169985,1.0
80.0,0.018780576065182686,0.9964601769911504
81.0,0.007584731560200453,0.9964601769911504
82.0,0.0018600584007799625,1.0
83.0,0.0023550440091639757,1.0
84.0,0.0017562767025083303,1.0
85.0,0.0024753038305789232,1.0
86.0,0.002459595911204815,1.0
87.0,0.004359283018857241,1.0
88.0,0.0031199161894619465,1.0
89.0,0.004127908498048782,1.0
90.0,0.001665717107243836,1.0
91.0,0.0022841617465019226,1.0
92.0,0.002057241043075919,1.0
93.0,0.001131865312345326,1.0
94.0,0.0018666977994143963,1.0
95.0,0.00180797278881073,1.0
96.0,0.005733358208090067,1.0
97.0,0.002784570213407278,1.0
98.0,0.002241170732304454,1.0
99.0,0.001805021776817739,1.0
100.0,0.001899374183267355,1.0
