epoch,test_loss,test_accuracy,test_precision,test_recall,test_f1-score
1.0,2.322312831878662,0.10939357907253269,0.029327508385440394,0.10432504873294346,0.03287257018225441
2.0,2.301503896713257,0.10606420927467301,0.04868581626309393,0.10926186630412335,0.04674113238993508
3.0,2.0149264335632324,0.2285374554102259,0.12306392748199926,0.2092015045695946,0.12699107077633884
4.0,1.1903027296066284,0.5381688466111771,0.55362010775454,0.5492687616457185,0.519828458659725
5.0,1.2335829734802246,0.582639714625446,0.6103734280509953,0.5969534650146842,0.5722372370228204
6.0,0.8055333495140076,0.6967895362663495,0.72121556017784,0.7019776601637424,0.6962124372149455
7.0,0.528067946434021,0.7983353151010701,0.8058169987955365,0.7922060566227886,0.793167238042406
8.0,0.47671815752983093,0.8204518430439952,0.821770513985699,0.8215899130020544,0.8188399821666522
9.0,0.4482851028442383,0.8313912009512485,0.8352628923354851,0.830543782210935,0.8302323772279196
10.0,0.5070068836212158,0.8130796670630203,0.8161820667626019,0.816527290162999,0.8115250919216868
11.0,0.4246141016483307,0.8406658739595719,0.8443163608666033,0.8418215791668349,0.8386793698353241
12.0,0.37474581599235535,0.8680142687277052,0.8738593183573359,0.862986022861803,0.8665623481952508
13.0,0.39382970333099365,0.8561236623067776,0.8550187318326088,0.8606005542411796,0.8535091254758529
14.0,0.4399792551994324,0.8420927467300833,0.8449651344928654,0.845693173487728,0.8403162554662537
15.0,0.3345508575439453,0.8768133174791914,0.8813128527274143,0.8779886919383655,0.876879058759515
16.0,0.3740226924419403,0.8599286563614744,0.8581937547056595,0.8624398222690518,0.8581378597943093
17.0,0.35662177205085754,0.8689655172413793,0.8744789540195939,0.8714075206184893,0.869930440400082
18.0,0.35864049196243286,0.8727705112960761,0.8728360236442733,0.8782165198272338,0.8718055929833588
19.0,0.36919447779655457,0.8670630202140309,0.8706186063576974,0.8679780713469585,0.8673896032096191
20.0,0.30226829648017883,0.8898929845422117,0.8891461446895844,0.8914418878225152,0.8886912127234787
21.0,0.2803984582424164,0.8994054696789536,0.8970190028703898,0.9018462431615879,0.8975193075280912
22.0,0.36022722721099854,0.8741973840665874,0.8762058497502571,0.877027909059502,0.8737039261224318
23.0,0.31199708580970764,0.8863258026159334,0.8865275320043405,0.8877977352317996,0.8850842696543808
24.0,0.2540205717086792,0.9170035671819263,0.9174787776495681,0.9173832546918812,0.9168260661765858
25.0,0.2564845681190491,0.9082045184304399,0.9083751845070728,0.9091587119902927,0.9082326450267871
26.0,0.3468920886516571,0.8787158145065398,0.8787224679110593,0.8780594199767323,0.8767452235895398
27.0,0.30264338850975037,0.8922711058263971,0.8924865771471161,0.8937727999542006,0.8912257013454589
28.0,0.40940961241722107,0.8680142687277052,0.87077562513174,0.8717151535542411,0.8673194419893594
29.0,0.3361895680427551,0.8827586206896552,0.8837037831538682,0.8838738742362201,0.8815095611812973
30.0,0.294108122587204,0.8984542211652794,0.8995768356657907,0.8975780256063208,0.8973792584114895
31.0,0.32089757919311523,0.8860879904875149,0.8893278731458943,0.8861329861959572,0.8860552576065974
32.0,0.26185697317123413,0.9098692033293698,0.9098035601680265,0.9089757644141553,0.9089029289059821
33.0,0.32287347316741943,0.8915576694411415,0.8931208649462807,0.8923596842956412,0.8904024384029834
34.0,0.3273150324821472,0.8860879904875149,0.8879129091354712,0.8877829540659204,0.885598911753459
35.0,0.31586942076683044,0.8906064209274673,0.8897118554190317,0.8918545248656701,0.8895615997980191
36.0,0.2830013632774353,0.9003567181926279,0.9013376700323932,0.8998352573694959,0.9001729713842291
37.0,0.27342233061790466,0.9020214030915576,0.9043907118393987,0.9035651889053551,0.9025130232139243
38.0,0.24676531553268433,0.9101070154577884,0.9124975628943777,0.9073571566390196,0.9093266343609774
39.0,0.2967222332954407,0.8948870392390011,0.8987402521348654,0.8948751602949152,0.8950924450913446
40.0,0.29980266094207764,0.8994054696789536,0.900187954930525,0.8998988363573769,0.8988643094533579
41.0,0.2829712927341461,0.8989298454221165,0.8988493213931775,0.9020109886735689,0.8991716416515867
42.0,0.277133584022522,0.9017835909631391,0.9012312895473975,0.902844474542136,0.9015803278911244
43.0,0.33294346928596497,0.8906064209274673,0.8920005438963786,0.8897429859637223,0.8895521877717691
44.0,0.25289881229400635,0.9143876337693222,0.9151917046921835,0.9136793808989523,0.9138510901385901
45.0,0.3016648590564728,0.9027348394768133,0.9048558809774361,0.9018018407222799,0.9022370685646941
46.0,0.26000386476516724,0.9136741973840666,0.913602390252956,0.9147779935788709,0.9133460207606221
47.0,0.24857451021671295,0.9143876337693222,0.916600697230437,0.9132659124433051,0.9141398419103858
48.0,0.3172764778137207,0.8956004756242568,0.8940753748978146,0.8991248022582287,0.8950512943626073
49.0,0.30519211292266846,0.8960760998810939,0.8975108442609125,0.8970544000641102,0.8959484708811534
50.0,0.26218274235725403,0.9143876337693222,0.9189668711563226,0.9133057768712396,0.9155752338005904
51.0,0.24875468015670776,0.9153388822829964,0.9185543198537189,0.9155749857290909,0.9167212717411702
52.0,0.27590975165367126,0.9032104637336504,0.9022179101179212,0.905483935136956,0.9027763420248947
53.0,0.2384757399559021,0.9198573127229489,0.9196435776510447,0.9197565278838111,0.9196093402330116
54.0,0.27413350343704224,0.9098692033293698,0.9096728397165705,0.9114689994102246,0.9096059570039076
55.0,0.3463931381702423,0.8853745541022592,0.8865405873946118,0.8879235911987585,0.8845313209263462
56.0,0.25469401478767395,0.9112960760998811,0.9107057895331515,0.9117661205253451,0.9105529527595306
57.0,0.2856307625770569,0.9051129607609988,0.9052829161128896,0.9068743558074971,0.9051994280091176
58.0,0.3395869731903076,0.8853745541022592,0.887319462651624,0.8875832377924006,0.8852822806679252
59.0,0.2987046241760254,0.8994054696789536,0.8978199825763846,0.9021540720088576,0.8986689137010316
60.0,0.2833608090877533,0.9074910820451842,0.9089525229703137,0.9072013209032072,0.9072092390455205
61.0,0.3051413893699646,0.8896551724137931,0.8876505129821217,0.8918016700651362,0.8882781087011923
62.0,0.2992742359638214,0.9032104637336504,0.9024084164792129,0.9047403139975729,0.9026493171259775
63.0,0.2543824017047882,0.9115338882282996,0.9119564077122935,0.9111320674827958,0.910961831854247
64.0,0.28693264722824097,0.9082045184304399,0.9088161785069243,0.9082644263997558,0.9079227225117563
