batch,train_loss,train_accuracy
1.0,2.30037522315979,0.11487003058103976
2.0,2.2984774112701416,0.11786442405708461
3.0,2.2983100414276123,0.11850152905198777
4.0,2.2974984645843506,0.11850152905198777
5.0,2.2970643043518066,0.11850152905198777
6.0,2.2962985038757324,0.11920234454638125
7.0,2.2956559658050537,0.11894750254841997
8.0,2.295603036880493,0.123789500509684
9.0,2.294390916824341,0.1226427115188583
10.0,2.2929060459136963,0.126210499490316
11.0,2.2888059616088867,0.12372579001019368
12.0,2.281519889831543,0.13111620795107035
13.0,2.2751176357269287,0.13589449541284404
14.0,2.26578950881958,0.14424057084607544
15.0,2.2435975074768066,0.1567915392456677
16.0,1.8950377702713013,0.2508282364933741
17.0,1.4584338665008545,0.4091488277268094
18.0,1.1377390623092651,0.5588047910295617
19.0,0.8544784188270569,0.6813200815494393
20.0,0.6606581211090088,0.7614678899082569
21.0,0.5427564382553101,0.8039627930682977
22.0,0.4701625108718872,0.8259429153924567
23.0,0.4215575158596039,0.8464576962283384
24.0,0.38831984996795654,0.8591360856269113
25.0,0.3635760247707367,0.8703491335372069
26.0,0.3360324203968048,0.8795234454638124
27.0,0.3157094419002533,0.8887614678899083
28.0,0.30283311009407043,0.8925203873598369
29.0,0.27992957830429077,0.9013124362895005
30.0,0.2804422974586487,0.8991462793068298
31.0,0.2706732749938965,0.9015035677879715
32.0,0.2504214942455292,0.9109964322120285
33.0,0.24836459755897522,0.910295616717635
34.0,0.24400673806667328,0.9150101936799184
35.0,0.23395690321922302,0.9174311926605505
36.0,0.2230539172887802,0.9209352701325179
37.0,0.22076022624969482,0.9234836901121305
38.0,0.21008798480033875,0.9248216106014271
39.0,0.2045024037361145,0.9269877675840978
40.0,0.2033565193414688,0.928644240570846
41.0,0.20244631171226501,0.9294724770642202
42.0,0.1926046460866928,0.9321483180428135
43.0,0.1937718242406845,0.9324031600407747
44.0,0.1857263296842575,0.9370540265035678
45.0,0.17700830101966858,0.9372451580020388
46.0,0.17705394327640533,0.9377548419979612
47.0,0.16632726788520813,0.939729867482161
48.0,0.16216090321540833,0.9429791029561672
49.0,0.1719738394021988,0.9373088685015291
50.0,0.16115687787532806,0.9401121304791029
51.0,0.15864646434783936,0.9445081549439348
52.0,0.15146441757678986,0.9453363914373089
53.0,0.15415780246257782,0.9464194699286442
54.0,0.14853809773921967,0.9469291539245668
55.0,0.145781472325325,0.9483307849133538
56.0,0.13676230609416962,0.9524719673802242
57.0,0.14349547028541565,0.9480759429153924
58.0,0.13666635751724243,0.9511340468909276
59.0,0.1373211145401001,0.9532364933741081
60.0,0.13346150517463684,0.9515800203873598
61.0,0.12751571834087372,0.954446992864424
62.0,0.12383165210485458,0.9559760448521917
63.0,0.12739568948745728,0.9550203873598369
64.0,0.1214083656668663,0.956039755351682
65.0,0.11432211101055145,0.9597349643221202
66.0,0.1169767677783966,0.9581422018348624
67.0,0.11796645820140839,0.9569954128440367
68.0,0.11202692240476608,0.9599898063200816
69.0,0.11148081719875336,0.959480122324159
70.0,0.1112622544169426,0.9614551478083588
71.0,0.10835164785385132,0.9604994903160041
72.0,0.10537763684988022,0.9623470948012233
73.0,0.10408436506986618,0.9628567787971458
74.0,0.09976810216903687,0.9642584097859327
75.0,0.10328943282365799,0.9624108053007135
76.0,0.09790807217359543,0.9660423037716616
77.0,0.0946587398648262,0.9662334352701325
78.0,0.09752127528190613,0.9655963302752294
79.0,0.10063262283802032,0.9646406727828746
80.0,0.09730470925569534,0.9656600407747197
81.0,0.09379409998655319,0.9662971457696228
82.0,0.09589380770921707,0.9662334352701325
83.0,0.09092569351196289,0.9677624872579002
84.0,0.0890590101480484,0.9687818552497451
85.0,0.09223688393831253,0.9671253822629969
86.0,0.09141243994235992,0.9682084607543323
87.0,0.08957593142986298,0.9694189602446484
88.0,0.08880195021629333,0.9698649337410805
89.0,0.08714858442544937,0.969355249745158
90.0,0.08753681182861328,0.9689729867482161
91.0,0.08726083487272263,0.9689092762487258
92.0,0.08814912289381027,0.9689092762487258
93.0,0.0867941677570343,0.968335881753313
94.0,0.08837416768074036,0.9691004077471967
95.0,0.0863378643989563,0.9703109072375128
96.0,0.08523257821798325,0.9691004077471967
97.0,0.08482044190168381,0.9698012232415902
98.0,0.08411765843629837,0.9699286442405708
99.0,0.08441118150949478,0.9715851172273191
100.0,0.0824994370341301,0.9715214067278287
