batch,train_loss,train_accuracy
1.0,2.310102939605713,0.1151825124360681
2.0,2.2972967624664307,0.12891473411336088
3.0,2.199023723602295,0.17767813353884956
4.0,1.608491063117981,0.3829608351432775
5.0,0.8614131808280945,0.6859104603096756
6.0,0.5981016159057617,0.7805647025853009
7.0,0.5001399517059326,0.8192391228193092
8.0,0.4330100119113922,0.8411686400896798
9.0,0.3704868257045746,0.8670216492678484
10.0,0.3514840602874756,0.8766902543263505
11.0,0.33017241954803467,0.8838366145869824
12.0,0.3001655340194702,0.8924542843130386
13.0,0.28282320499420166,0.8991802704406923
14.0,0.27493155002593994,0.9017025152385624
15.0,0.2577379047870636,0.9076578154557556
16.0,0.24132221937179565,0.9163455475373082
17.0,0.23245631158351898,0.919708540601135
18.0,0.21781368553638458,0.9255237161073355
19.0,0.21365782618522644,0.9246129054858825
20.0,0.20176918804645538,0.9283962726826875
21.0,0.19770847260951996,0.9324598893014783
22.0,0.19460633397102356,0.9318293281020108
23.0,0.1810586005449295,0.9365935682757655
24.0,0.18190988898277283,0.9396062495621103
25.0,0.17086559534072876,0.9434596791144119
26.0,0.16469915211200714,0.9442303650248721
27.0,0.16521158814430237,0.9426889932039515
28.0,0.15709388256072998,0.9454914874238072
29.0,0.15219880640506744,0.9478736075106845
30.0,0.1462067812681198,0.9498353534645835
31.0,0.1407438963651657,0.9524977229734464
32.0,0.1416867971420288,0.952077348840468
33.0,0.13533468544483185,0.9541091571498633
34.0,0.12708726525306702,0.9581727737686541
35.0,0.12352845817804337,0.9573320255026974
36.0,0.11938020586967468,0.9586632102571289
37.0,0.12165871262550354,0.9575422125691866
38.0,0.11754520237445831,0.9606950185665242
39.0,0.11490552872419357,0.9595740208785819
40.0,0.11416115611791611,0.9629370139424087
41.0,0.10690578818321228,0.963147201008898
42.0,0.10154126584529877,0.967631191760667
43.0,0.10337000340223312,0.9651089469627969
44.0,0.09465117007493973,0.9686120647376165
45.0,0.09999214857816696,0.9679815035381489
46.0,0.0962696522474289,0.9674210046941778
47.0,0.09235023707151413,0.9686821270931129
48.0,0.09033003449440002,0.9708540601135011
49.0,0.08593270182609558,0.9716948083794578
50.0,0.0872327908873558,0.9691725635815877
51.0,0.08840826898813248,0.9718349330904505
52.0,0.07939609885215759,0.9732361802003784
53.0,0.07839808613061905,0.9742170531773279
54.0,0.0745413526892662,0.9754081132207665
55.0,0.073490209877491,0.9770195473971834
56.0,0.07725551724433899,0.9762488614867232
57.0,0.06927966326475143,0.9773698591746655
58.0,0.07031204551458359,0.977650108596651
59.0,0.06543803960084915,0.9789112309955861
60.0,0.07415074855089188,0.9763189238422195
61.0,0.07077823579311371,0.9777201709521474
62.0,0.06274772435426712,0.9788411686400896
63.0,0.05728713050484657,0.9816436628599453
64.0,0.06088453531265259,0.9813634134379597
65.0,0.05780902877449989,0.9807328522384923
66.0,0.059062957763671875,0.9829047852588804
67.0,0.06110440194606781,0.981573600504449
68.0,0.05828433856368065,0.9824143487704057
69.0,0.05660763382911682,0.982484411125902
70.0,0.05327756330370903,0.9833251593918587
71.0,0.052486319094896317,0.9843060323688082
72.0,0.05539623275399208,0.9817837875709381
73.0,0.04786675050854683,0.9850066559237721
74.0,0.04970467835664749,0.984446157079801
75.0,0.04887724667787552,0.9850066559237721
76.0,0.049770936369895935,0.9852869053457577
77.0,0.045340899378061295,0.9860575912562181
78.0,0.046135496348142624,0.9849365935682758
79.0,0.04962832108139992,0.9854270300567505
80.0,0.046531155705451965,0.9856372171232397
81.0,0.04433995857834816,0.9869684018776711
82.0,0.044445812702178955,0.9856372171232397
